Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.67655E-4,14.259896785,0.341865624,0.214150284,0.109375,0
1.70204E-4,14.513378211,0.345268607,0.212653428,0.109375,0
1.7225E-4,14.75356785,0.34797525,0.211256362,0.125,0
1.74889E-4,15.014293525,0.351432331,0.209759505,0.125,0
1.7616E-4,15.259959244,0.353084838,0.208362439,0.125,0
1.78192E-4,15.507974656,0.355708434,0.206965373,0.125,0
1.79858E-4,15.758584269,0.357843763,0.205568307,0.125,0
1.82456E-4,16.012226906,0.361146212,0.20417124,0.125,0
1.8525E-4,16.250922815,0.364660185,0.202873965,0.15625,0
1.89213E-4,16.513725726,0.369577825,0.201476899,0.1875,0
1.91975E-4,16.761559827,0.37296086,0.200179623,0.1875,0
1.93735E-4,17.012347566,0.375098086,0.198882347,0.1875,0
1.9596E-4,17.265207417,0.377778282,0.197585071,0.1875,0
1.97527E-4,17.501484526,0.379651795,0.196387586,0.1875,0
1.99594E-4,17.75971257,0.382106665,0.19509031,0.1875,0
2.02046E-4,18.000576698,0.384994133,0.193892825,0.1875,0
2.04434E-4,18.264595725,0.387779568,0.192595549,0.21875,0
2.06591E-4,18.511093414,0.390274748,0.191398064,0.21875,0
2.08751E-4,18.760666323,0.392752041,0.190200579,0.21875,0
2.1109E-4,19.012626065,0.395412575,0.189003094,0.21875,0
2.13837E-4,19.267687525,0.398507687,0.187805608,0.234375,0
2.15972E-4,19.504123555,0.400891466,0.186707913,0.234375,0
2.19343E-4,19.766027823,0.404617516,0.185510428,0.234375,0
2.21344E-4,20.008497144,0.406806681,0.184412733,0.234375,0
2.23548E-4,20.253220944,0.409199301,0.183315038,0.234375,0
2.25531E-4,20.522390096,0.411336466,0.182117553,0.234375,0
2.28854E-4,20.772295025,0.414883143,0.181019858,0.234375,0
2.29743E-4,21.001755809,0.415824687,0.180021954,0.234375,0
2.31708E-4,21.255853674,0.417894446,0.178924259,0.234375,0
2.34847E-4,21.512592838,0.42117146,0.177826564,0.234375,0
2.38904E-4,21.773205325,0.425352477,0.176728869,0.234375,0
2.41113E-4,22.013355716,0.427603829,0.175730965,0.234375,0
2.45269E-4,22.256583888,0.431791607,0.174733061,0.234375,0
