"sp1","x","y"
"sp1",71.9166666666667,21.75
"sp1",74.25,29.5833333333333
"sp1",71.0833333333333,22.5833333333333
"sp1",75.25,19.4166666666667
"sp1",74.4166666666667,18.5833333333333
"sp1",78.0833333333333,15.25
"sp1",75.75,29.0833333333333
"sp1",76.25,17.0833333333333
"sp1",79.25,10.25
"sp1",76.25,13.25
"sp1",78.5833333333333,10.9166666666667
"sp1",81.9166666666667,24.9166666666667
"sp1",77.4166666666667,24.9166666666667
"sp1",76.25,22.25
"sp1",75.5833333333333,26.0833333333333
"sp1",75.4166666666667,30.9166666666667
"sp1",74.9166666666667,25.9166666666667
"sp1",77.5833333333333,27.25
"sp1",74.0833333333333,32.75
"sp1",79.0833333333333,18.5833333333333
"sp1",62.5833333333333,26.0833333333333
"sp1",78.75,27.0833333333333
"sp1",78.25,14.0833333333333
"sp1",76.5833333333333,29.75
"sp1",73.9166666666667,25.0833333333333
"sp1",72.5833333333333,26.4166666666667
"sp1",74.9166666666667,26.75
"sp1",76.0833333333333,26.9166666666667
"sp1",74.25,24.0833333333333
"sp1",72.75,33.75
"sp1",77.9166666666667,10.5833333333333
"sp1",75.9166666666667,27.75
